,Unnamed: 0,mcg,gvh,alm,mit,erl,pox,vac,nuc,distance_from_0,distance_from_1,distance_from_2,closest,Probability_0,Probability_1,Probability_2,Probability0,Probability1,Probability2,cluster_label,Max_prob,Min_prob
0,0,0.58,0.61,0.47,0.13,0.5,0.0,0.48,0.22,0.4314754098360655,0.01316101694915378,0.17098765432098748,1,0.34835309987834223,0.4774383937926314,0.4403917136472185,0.2523083803639384,0.3796519719613865,0.36803964767467523,1,0.3796519719613865,0.2523083803639384
1,1,0.43,0.67,0.48,0.27,0.5,0.0,0.53,0.22,0.4314754098360655,0.01316101694915378,0.17098765432098748,1,0.3521051451067957,0.4746227887332089,0.4411940455326466,0.2529987313090908,0.38030146288100264,0.3666998058099066,1,0.38030146288100264,0.2529987313090908
2,2,0.64,0.62,0.49,0.15,0.5,0.0,0.53,0.22,0.4314754098360655,0.01316101694915378,0.17098765432098748,1,0.3498403090668169,0.4758680882769639,0.43944755647595,0.2531662354951369,0.3850113942427545,0.36182237026210856,1,0.3850113942427545,0.2531662354951369
3,3,0.58,0.44,0.57,0.13,0.5,0.0,0.54,0.22,0.4314754098360655,0.01316101694915378,0.17098765432098748,1,0.3522610198624703,0.4731314523103738,0.4429855621715871,0.25458307443670636,0.3662065574074254,0.37921036815586834,2,0.37921036815586834,0.25458307443670636
4,4,0.42,0.44,0.48,0.54,0.5,0.0,0.48,0.22,0.4314754098360655,0.01316101694915378,0.17098765432098748,1,0.3690265358277074,0.4559741988715241,0.4372788798401379,0.2651310498127489,0.37323766881506815,0.361631281372183,1,0.37323766881506815,0.2651310498127489
5,5,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,0.4314754098360655,0.01316101694915378,0.17098765432098748,1,0.3617756612331173,0.4250276153401743,0.4132740963135036,0.350148045005818,0.3210278257364923,0.32882412925768967,0,0.350148045005818,0.3210278257364923
6,6,0.5,0.54,0.48,0.65,0.5,0.0,0.53,0.22,0.4314754098360655,0.01316101694915378,0.17098765432098748,1,0.3667556960054578,0.4455917809691123,0.4266954749850783,0.2682808603638236,0.38329533184251285,0.3484238077936635,1,0.38329533184251285,0.2682808603638236
7,7,0.48,0.45,0.59,0.2,0.5,0.0,0.58,0.34,0.3114754098360654,0.10683898305084624,0.05098765432098745,2,0.3760481080114128,0.438799612627216,0.4575658325920994,0.2613574086981972,0.34765296039641985,0.390989630905383,2,0.390989630905383,0.2613574086981972
8,8,0.55,0.5,0.66,0.36,0.5,0.0,0.49,0.22,0.4314754098360655,0.01316101694915378,0.17098765432098748,1,0.35434517197568177,0.4724611375596018,0.4418473555221546,0.2540078011876216,0.3811141868938451,0.36487801191853336,1,0.3811141868938451,0.2540078011876216
9,9,0.4,0.39,0.6,0.15,0.5,0.0,0.58,0.3,0.35147540983606546,0.0668389830508462,0.09098765432098747,1,0.3811345635317635,0.4441710937078967,0.4520177028150509,0.2665003737221244,0.34089004177263293,0.3926095845052427,2,0.3926095845052427,0.2665003737221244
10,10,0.43,0.39,0.54,0.21,0.5,0.0,0.53,0.27,0.3814754098360654,0.036838983050846236,0.12098765432098744,1,0.3627542284015448,0.4571840623013537,0.4508029952558032,0.25511887306874315,0.34859829144555965,0.39628283548569715,2,0.39628283548569715,0.25511887306874315
11,11,0.42,0.37,0.59,0.2,0.5,0.0,0.52,0.29,0.3614754098360655,0.0568389830508462,0.1009876543209875,1,0.3741150870617778,0.4487579743025055,0.4530100036968539,0.26155090745063897,0.34386502790149964,0.39458406464786144,2,0.39458406464786144,0.26155090745063897
12,12,0.4,0.42,0.57,0.35,0.5,0.0,0.53,0.25,0.40147540983606544,0.016838983050846218,0.14098765432098748,1,0.3640959201577871,0.4611721589610525,0.4476132588683418,0.2576405544897451,0.36020427440921005,0.3821551711010448,2,0.3821551711010448,0.2576405544897451
13,13,0.6,0.4,0.52,0.46,0.5,0.0,0.53,0.22,0.4314754098360655,0.01316101694915378,0.17098765432098748,1,0.3612763854882216,0.4662567414512736,0.43926202975934747,0.25817595063648874,0.38335350077898983,0.35847054858452126,1,0.38335350077898983,0.25817595063648874
