,mcg,gvh,alm,mit,vac,nuc,distance_from_0,distance_from_1,distance_from_2,distance_from_3,distance_from_4,distance_from_5,distance_from_6,distance_from_7,distance_from_8,closest,Probability_0,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8
0,0.58,0.61,0.47,0.13,0.48,0.22,0.24495626822157407,0.8604807692307698,0.6869230769230767,2.2600000000000002,0.5371698113207535,0.5947777777777776,1.5200000000000002,0.5126046511627902,0.5379005524861878,0,0.7827387680517673,0.4229586879057472,0.5031217568094637,0.104350484754765,0.5843998759814731,0.5516851489467492,0.21871188695221472,0.598933532480663,0.5839729869267174
1,0.43,0.67,0.48,0.27,0.53,0.22,0.4482507288629728,0.6920192307692307,0.6400000000000002,2.0700000000000003,0.48943396226415,0.5204444444444453,1.45,0.4362790697674414,0.46613259668508233,7,0.6387445122676222,0.5005642930826618,0.5272924240430484,0.12618578170503872,0.612973262002378,0.5942563753249213,0.23457028809379765,0.6464372996539706,0.6274240841777464
2,0.64,0.62,0.49,0.15,0.53,0.22,0.2662973760932935,0.8860576923076926,0.7433333333333334,2.34,0.45943396226415006,0.6610555555555562,1.42,0.5473953488372092,0.611491712707182,0,0.7662112407132563,0.4122778794456864,0.47552618349279996,0.09632763823049303,0.6316410770226274,0.5163060570301358,0.24171401689703645,0.5784545221489051,0.5425409499121826
3,0.58,0.44,0.57,0.13,0.54,0.22,0.29239067055393564,0.7091346153846152,0.7569230769230769,2.0500000000000003,0.80943396226415,0.3958888888888886,1.77,0.45209302325581374,0.5652486187845299,0,0.7464768524755334,0.49206984293264894,0.4691076167093673,0.12873490358780418,0.445109943954946,0.6730814786136736,0.17033298882540943,0.6362949767415733,0.5682188593127625
4,0.42,0.44,0.48,0.54,0.48,0.22,0.6986880466472306,0.7264423076923079,0.3049572649572647,1.5100000000000002,0.9494339622641499,0.5141666666666668,1.45,0.43013953488372003,0.5762983425414365,2,0.49723722809928655,0.4836265274203307,0.7371548760636414,0.22090997795937814,0.38695999543513326,0.5979987193035449,0.23457028809379765,0.6504183323448317,0.5619747592062492
5,0.51,0.4,0.56,0.17,0.49,0.22,0.2980174927113708,0.5972115384615393,0.6371794871794872,1.8600000000000003,0.8571698113207535,0.18588888888888874,1.84,0.34730232558139484,0.461657458563536,5,0.7422883549982576,0.5503441118650247,0.5287817584412625,0.15567263036799725,0.4243614072099311,0.8303658527289329,0.15881742610692068,0.7065916752239672,0.630238185665182
6,0.5,0.54,0.48,0.65,0.53,0.22,0.6282507288629727,1.0120192307692306,0.20461538461538423,1.6300000000000003,0.8716981132075463,0.8404444444444452,1.13,0.4528372093023254,0.7861325966850824,2,0.5335242637995666,0.3634842794154477,0.814960702565047,0.19592957412690928,0.4182407257887017,0.4315186947170934,0.32303325642225295,0.635821631048892,0.4556033945625129
7,0.48,0.45,0.59,0.2,0.58,0.34,0.42504373177842586,0.4891346153846151,0.7384615384615393,2.0300000000000002,0.961509433962264,0.34744444444444467,1.7299999999999998,0.46083720930232575,0.49298342541436474,5,0.6537411952396104,0.6131567811021612,0.47784850185104677,0.13133552114849303,0.3823153704195591,0.7064912623538943,0.17728440996987785,0.6307553501442552,0.6108013927619764
8,0.55,0.5,0.66,0.36,0.49,0.22,0.4430029154518955,0.8395192307692307,0.4805128205128205,1.71,0.7494339622641497,0.5452777777777778,1.61,0.22176744186046526,0.6725414364640885,7,0.6421053350578501,0.4319181264659211,0.6184661483412607,0.1808657926171221,0.4726340057221186,0.5796807385461755,0.1998876140751445,0.8011016453814609,0.5104097540860063
9,0.4,0.39,0.6,0.15,0.58,0.3,0.530058309037901,0.5714423076923072,0.8984615384615392,1.8900000000000001,1.1215094339622638,0.24583333333333318,1.97,0.6208372093023257,0.4883425414364643,5,0.588570649689462,0.5647103649439756,0.4071956329191787,0.15107180883637084,0.32578766832934375,0.7820525561569326,0.13945685621505094,0.537494253982635,0.6136426390068972
10,0.43,0.39,0.54,0.21,0.53,0.27,0.375043731778426,0.42278846153846195,0.6684615384615393,1.84,0.8915094339622642,0.11611111111111239,1.8,0.3908372093023259,0.34298342541436483,5,0.6872592230657175,0.6552172220959747,0.5124964276353182,0.15881742610692068,0.4100363625942133,0.890376287102551,0.16529888822158653,0.6764902733995815,0.7096499736169914
11,0.42,0.37,0.59,0.2,0.52,0.29,0.4550437317784259,0.46278846153846187,0.7684615384615393,1.7799999999999998,0.9915094339622641,0.15155555555555592,1.8599999999999999,0.49083720930232577,0.40298342541436477,5,0.6344202230169431,0.6295257873405348,0.4637259443341944,0.16863814726859555,0.3710162436306045,0.8593701381612602,0.15567263036799733,0.6121137123093178,0.6683231764114804
12,0.4,0.42,0.57,0.35,0.53,0.25,0.5443440233236149,0.5474038461538453,0.5635897435897439,1.6500000000000001,0.8637735849056601,0.22955555555555504,1.71,0.2608372093023258,0.44988950276243034,5,0.5802222708075193,0.5784496068585543,0.5691622457475245,0.19204990862075408,0.42156825338700016,0.7948868070329729,0.1808657926171221,0.770406324390477,0.6376986116638724
