,Unnamed: 0,mcg,gvh,alm,mit,erl,vac,nuc,distance_from_0,distance_from_1,distance_from_2,distance_from_3,closest,Probability_0,Probability_1,Probability_2,Probability_3,Probability0,Probability1,Probability2,Probability3,cluster_label,Max_prob,Min_prob
0,0,0.58,0.61,0.47,0.13,0.5,0.48,0.22,0.25,0.006651248843662971,0.11480158730158747,0.4716279069767444,1,0.7175676909360669,0.8302595550719559,0.7901368787218146,0.5880432786994457,0.7587727736969758,0.8283985026502945,0.7302605235910641,0.6304924073452978,1,0.8283985026502945,0.6304924073452978
1,1,0.43,0.67,0.48,0.27,0.5,0.53,0.22,0.25,0.006651248843662971,0.11480158730158747,0.4716279069767444,1,0.7219902750990386,0.8308291448925549,0.7988114914078853,0.5967104912447271,0.7572095811543764,0.7957567719903935,0.7684673731278024,0.6369803358605071,1,0.7957567719903935,0.6369803358605071
2,2,0.64,0.62,0.49,0.15,0.5,0.53,0.22,0.25,0.006651248843662971,0.11480158730158747,0.4716279069767444,1,0.7006505836006601,0.8113515795866967,0.7709139015646886,0.5795725041705027,0.733967173572188,0.8392153483644342,0.7205979829960664,0.6180353350853207,1,0.8392153483644342,0.6180353350853207
3,3,0.58,0.44,0.57,0.13,0.5,0.54,0.22,0.25,0.006651248843662971,0.11480158730158747,0.4716279069767444,1,0.7333269351003048,0.8315281406002283,0.8041901427855174,0.5984568899826095,0.7871509430103305,0.7825219174515644,0.739913895251548,0.6468866539040504,0,0.7871509430103305,0.6468866539040504
4,4,0.42,0.44,0.48,0.54,0.5,0.48,0.22,0.25,0.006651248843662971,0.11480158730158747,0.4716279069767444,1,0.6741127437119898,0.7410937350381982,0.7291102811175859,0.5783001968820938,0.6908571601984629,0.687612257783409,0.8051491377469953,0.6098152002608366,2,0.8051491377469953,0.6098152002608366
5,5,0.51,0.4,0.56,0.17,0.5,0.49,0.22,0.25,0.006651248843662971,0.11480158730158747,0.4716279069767444,1,0.7558067225886995,0.8563710978167941,0.8332042610096603,0.6110341757328799,0.8260055347420978,0.7790897243875218,0.7686000087927408,0.664382048914326,0,0.8260055347420978,0.664382048914326
6,6,0.5,0.54,0.48,0.65,0.5,0.53,0.22,0.25,0.006651248843662971,0.11480158730158747,0.4716279069767444,1,0.6139471842137869,0.6772251923508018,0.6616952761790308,0.5405153992447003,0.6207170443662539,0.6555479346317085,0.7536903388502408,0.5613916423946737,2,0.7536903388502408,0.5613916423946737
7,7,0.48,0.45,0.59,0.2,0.5,0.58,0.34,0.12999999999999995,0.11334875115633705,0.005198412698412536,0.35162790697674434,2,0.8322352087239956,0.8273799949250049,0.8721039010691214,0.6869468886669938,0.8454188720877869,0.7631199365938779,0.7918355985745795,0.7417173461420208,0,0.8454188720877869,0.7417173461420208
8,8,0.55,0.5,0.66,0.36,0.5,0.49,0.22,0.25,0.006651248843662971,0.11480158730158747,0.4716279069767444,1,0.7160764818156625,0.8255205872638293,0.7928867189332935,0.5971032683262126,0.7461375854806966,0.775675113174457,0.8054647843053822,0.6360573846591759,2,0.8054647843053822,0.6360573846591759
9,9,0.4,0.39,0.6,0.15,0.5,0.58,0.3,0.16999999999999998,0.07334875115633703,0.0348015873015875,0.3916279069767444,2,0.7773886083233051,0.7813710358941213,0.8083247046247249,0.6478038288374044,0.8137446409821785,0.7087373745996561,0.7374132958612649,0.7026068508986931,0,0.8137446409821785,0.7026068508986931
