,mcg,gvh,alm,mit,vac,nuc,distance_from_0,distance_from_1,distance_from_2,distance_from_3,distance_from_4,closest,Probability_0,Probability_1,Probability_2,Probability_3,Probability_4
0,0.58,0.61,0.47,0.13,0.48,0.22,0.6532327586206892,2.2600000000000002,0.33191222570532797,0.6471759259259261,0.5284357541899433,2,0.5203608537179331,0.104350484754765,0.7175503025621023,0.5235221564261888,0.5895264130300168
1,0.43,0.67,0.48,0.27,0.53,0.22,0.5936637931034479,2.0700000000000003,0.4033542319749208,0.550740740740742,0.4796648044692726,2,0.5523000601849889,0.12618578170503872,0.6680754037338016,0.5765225983967693,0.6189908399994739
2,0.64,0.62,0.49,0.15,0.53,0.22,0.7015086206896546,2.34,0.36269592476488977,0.7001851851851866,0.4496648044692727,2,0.49583670974214616,0.09632763823049303,0.6957979762682295,0.4964933520642776,0.6378419175531538
3,0.58,0.44,0.57,0.13,0.54,0.22,0.6429741379310339,2.0500000000000003,0.35557993730407544,0.5362500000000006,0.7996648044692727,2,0.5257265134153238,0.12873490358780418,0.7007669244613155,0.5849376608956575,0.449479602423053
4,0.42,0.44,0.48,0.54,0.48,0.22,0.3059913793103449,1.5100000000000002,0.6066771159874604,0.5577314814814817,0.9421229050279322,0,0.7363929676439754,0.22090997795937814,0.5451593640359942,0.5725063330713976,0.3897994491665034
5,0.51,0.4,0.56,0.17,0.49,0.22,0.5268534482758622,1.8600000000000003,0.2584952978056424,0.3332407407407403,0.8484357541899432,2,0.5904599625455443,0.15567263036799725,0.7722126621346705,0.7165976591371547,0.42808403715125376
6,0.5,0.54,0.48,0.65,0.53,0.22,0.31487068965517206,1.6300000000000003,0.5833542319749208,0.870740740740742,0.8633519553072616,0,0.7298832496217633,0.19592957412690928,0.5580234837154034,0.4186413296770362,0.4217460365170544
7,0.48,0.45,0.59,0.2,0.58,0.34,0.6155603448275866,2.0300000000000002,0.33808777429467196,0.37194444444444524,0.935754189944134,2,0.5403380348411211,0.13133552114849303,0.7131326904321881,0.6893925410459779,0.3922898928433671
8,0.55,0.5,0.66,0.36,0.49,0.22,0.37469827586206883,1.71,0.43175548589341617,0.6837962962962958,0.7421229050279321,0,0.687496681843805,0.1808657926171221,0.6493681369446439,0.50469737018656,0.4761021223412822
9,0.4,0.39,0.6,0.15,0.58,0.3,0.7755603448275866,1.8900000000000001,0.49112852664576956,0.27625000000000055,1.0957541899441336,3,0.46044570033206966,0.15107180883637084,0.6119354189399986,0.7586232512394788,0.334287395660696
10,0.43,0.39,0.54,0.21,0.53,0.27,0.5455603448275868,1.84,0.2880877742946721,0.16680555555555604,0.8657541899441339,3,0.5795169630099282,0.15881742610692068,0.7496957853322299,0.8463641661483694,0.42073411949785117
11,0.42,0.37,0.59,0.2,0.52,0.29,0.6455603448275867,1.7799999999999998,0.368087774294672,0.20324074074074047,0.9657541899441338,3,0.5243686325179441,0.16863814726859555,0.6920564342573479,0.8160817536493742,0.38069597436606856
12,0.4,0.42,0.57,0.35,0.53,0.25,0.4451293103448274,1.6500000000000001,0.4662382445141065,0.35680555555555593,0.8433519553072615,3,0.6407414161816447,0.19204990862075408,0.6273578016867378,0.6999085778387516,0.43026587160567203
13,0.6,0.4,0.52,0.46,0.53,0.22,0.32090517241379257,1.7400000000000002,0.5525391849529779,0.6268055555555561,0.7533519553072617,0,0.7254920443877156,0.17552040061699684,0.5754866864605853,0.5342958562325721,0.4707858518669341
14,0.66,0.55,0.45,0.19,0.46,0.22,0.6532327586206892,2.22,0.33191222570532797,0.6471759259259263,0.4484357541899431,2,0.5203608537179331,0.10860910882495796,0.7175503025621023,0.5235221564261887,0.6386263392882235
15,0.46,0.44,0.52,0.11,0.5,0.22,0.5630603448275859,1.96,0.2784952978056424,0.3462500000000006,0.8684357541899432,2,0.56946363930754,0.140858420921045,0.7569218269350818,0.7073356310926475,0.41960740527945867
16,0.47,0.39,0.5,0.11,0.49,0.4,0.7152155172413799,2.1100000000000003,0.4115673981191236,0.2928703703703709,1.0145251396648045,3,0.48908669382199593,0.12123796643338162,0.6626108607637657,0.7461188535393046,0.3625745612377501
17,0.58,0.47,0.54,0.11,0.51,0.26,0.532974137931034,2.14,0.24557993730407557,0.4862500000000005,0.705754189944134,2,0.5868569779843276,0.11765484302177918,0.7822507502790748,0.6149280560814048,0.49373606302789563
18,0.5,0.34,0.55,0.21,0.49,0.22,0.5468534482758621,1.7600000000000002,0.30545454545454476,0.3107870370370356,0.8684357541899432,2,0.578768071927899,0.17204486382305048,0.7367883944499318,0.7328699334039904,0.41960740527945867
19,0.61,0.6,0.55,0.21,0.5,0.25,0.5235775862068959,2.17,0.2576489028213147,0.556805555555556,0.4584357541899433,2,0.5923973995957658,0.1141776169108365,0.7728665357373692,0.5730366770196603,0.6322719010401454
20,0.45,0.4,0.5,0.16,0.5,0.22,0.583060344827586,1.88,0.26971786833855804,0.24018518518518647,0.8484357541899431,3,0.5581875037456873,0.1525901057568839,0.7635948982466039,0.7864822027277284,0.4280840371512538
21,0.43,0.44,0.48,0.22,0.51,0.22,0.533060344827586,1.87,0.25746081504702223,0.25074074074074193,0.7396648044692727,3,0.5868063890461246,0.1541236618151314,0.7730119161556122,0.7782241072124819,0.47727386877947586
22,0.73,0.63,0.42,0.3,0.49,0.22,0.6932327586206892,2.3200000000000003,0.5788714733542303,0.8677314814814816,0.1425139664804462,4,0.49995721280047695,0.0982735856043615,0.5605305834607023,0.41990302741034574,0.8671754428188123
23,0.43,0.53,0.52,0.13,0.55,0.22,0.5736637931034478,2.0500000000000003,0.2651724137931028,0.4362500000000007,0.8196648044692727,2,0.5634572614975836,0.12873490358780418,0.767073684490454,0.6464560917090755,0.4405793099735244
24,0.46,0.53,0.52,0.15,0.58,0.22,0.5536637931034478,2.09,0.2451724137931027,0.4762500000000006,0.7996648044692726,2,0.5748398532276409,0.12368713581745483,0.7825696008164221,0.6211081857897655,0.44947960242305307
25,0.51,0.51,0.52,0.51,0.54,0.22,0.10487068965517202,1.7200000000000002,0.4162382445141065,0.7068055555555561,0.7933519553072617,0,0.9004409513883004,0.1790661479114932,0.6595231239992692,0.4932172386949312,0.4523260745760804
26,0.59,0.45,0.53,0.19,0.59,0.27,0.5534051724137932,2.15,0.26742946708464105,0.4562500000000005,0.715754189944134,2,0.5749885379325653,0.11648415777349697,0.7653443106846037,0.633655403444306,0.4888233071167368
27,0.57,0.47,0.6,0.18,0.51,0.22,0.552974137931034,1.96,0.26557993730407553,0.5062500000000005,0.7296648044692727,2,0.5752364312410495,0.140858420921045,0.7667611476167631,0.602751664750095,0.4820705509056169
28,0.63,0.67,0.57,0.24,0.49,0.22,0.6353017241379306,2.1700000000000004,0.43764890282131463,0.7237962962962957,0.39843575418994315,4,0.5297756181087604,0.11417761691083644,0.6455523946980498,0.48490790324319755,0.6713694118781375
29,0.8,0.88,0.36,0.39,0.56,0.33,1.0619396551724138,2.79,1.1115047021943576,1.3264351851851865,0.5215642458100569,4,0.3457844568331633,0.06142121391500013,0.32906344587818365,0.2654217562336407,0.5935912986706798
30,0.53,0.54,0.43,0.1,0.57,0.32,0.6719396551724136,2.4000000000000004,0.33454545454545526,0.5758796296296311,0.7057541899441337,2,0.510717001565724,0.09071795328941247,0.7156633139379349,0.5622101145637625,0.49373606302789574
31,0.51,0.51,0.43,0.87,0.52,0.22,0.534870689655172,1.5766666666666667,0.8174608150470221,1.1107407407407417,1.0433519553072614,0,0.5857450281394051,0.20666282744417902,0.4415514129712259,0.32931493371790493,0.3522719010834661
32,0.38,0.61,0.61,0.12,0.53,0.47,0.9361637931034485,2.23,0.6370219435736681,0.6119444444444453,1.0557541899441338,3,0.39212924256756765,0.10752843013579495,0.5288650711887017,0.5422953799982336,0.34792992308036613
33,0.33,0.55,0.51,0.43,0.51,0.22,0.3636637931034479,1.7333333333333334,0.502131661442005,0.5401388888888893,0.8133519553072616,0,0.6951248612328782,0.17669444575659674,0.6052391187450322,0.5826673207370979,0.4433694182015265
34,0.78,0.74,0.42,0.26,0.43,0.22,0.9532327586206892,2.46,0.7588714733542302,1.0477314814814815,0.2305586592178773,4,0.3854928017637388,0.08543495096732123,0.4681944989497045,0.3507324904772727,0.7940898529463137
35,0.74,0.67,0.47,0.34,0.42,0.22,0.7232327586206893,2.2100000000000004,0.6888714733542304,0.9777314814814816,0.24212290502793207,4,0.48518124412758384,0.10970064851551135,0.5021424305417767,0.3761634654685415,0.7849596961295466
36,0.72,0.61,0.45,0.3,0.54,0.25,0.6415086206896545,2.34,0.5096551724137921,0.8207407407407419,0.17335195530726166,4,0.5264975395230144,0.09632763823049303,0.6007026819586232,0.44010552963789445,0.8408416240877555
37,0.4,0.45,0.57,0.18,0.56,0.26,0.6051293103448274,1.8900000000000001,0.31927899686520417,0.29625000000000057,0.9157541899441338,3,0.5460038181326028,0.15107180883637084,0.7266727815937816,0.7436015044045944,0.40021467435775565
38,0.59,0.53,0.43,0.44,0.5,0.22,0.30150862068965445,1.94,0.4588714733542303,0.7607407407407419,0.5121229050279321,0,0.7397014495905196,0.14370394977770293,0.6319964680658924,0.4673201357062183,0.5992221359061832
39,0.57,0.53,0.53,0.34,0.53,0.22,0.3235775862068959,1.9500000000000002,0.3084326018808765,0.616805555555556,0.5433519553072618,2,0.7235558177931806,0.14227407158651353,0.7345974610179362,0.5396656188600882,0.580798176386282
40,0.86,0.68,0.39,0.24,0.54,0.22,1.0015086206896546,2.64,0.7496551724137921,1.0607407407407419,0.29178770949720645,4,0.3673248690598541,0.07136126955638605,0.4725294658460539,0.3461992714226196,0.7469270846699251
41,0.86,0.74,0.51,0.4,0.55,0.22,0.7915086206896544,2.43,0.8684326018808765,1.1768055555555559,0.41508379888268165,4,0.45316063183562566,0.08803683258237255,0.4196087280137717,0.30826189294046236,0.6602849472457435
42,0.79,0.57,0.41,0.28,0.59,0.22,0.8115086206896545,2.4499999999999997,0.6396551724137921,0.950740740740742,0.3217877094972065,4,0.4441874501201313,0.08629358649937054,0.5274742803695941,0.3864546546979088,0.7248520532043372
43,0.41,0.54,0.39,0.2,0.51,0.22,0.6236637931034479,2.06,0.2933542319749208,0.42018518518518644,0.6600558659217869,2,0.5359771265850947,0.12745396989482075,0.7457579226009995,0.6569251557435927,0.5168224609220029
44,0.37,0.36,0.56,0.18,0.48,0.26,0.6668534482758621,1.7133333333333334,0.39849529780564247,0.18356481481481343,1.0045251396648043,3,0.5133212311122394,0.1802639103361649,0.6713294373060115,0.8322979287535099,0.36621849615865854
45,0.53,0.31,0.58,0.39,0.47,0.37,0.515129310344828,1.6800000000000002,0.6336050156739816,0.5664814814814804,1.0082122905027933,0,0.5974233366055502,0.18637397603940994,0.5306752558796849,0.5675187551322531,0.3648706796520136
46,0.74,0.75,0.58,0.47,0.4,0.35,0.7357327586206899,2.16,0.9994984326018801,1.1894907407407402,0.5882122905027934,4,0.4791542259164039,0.11532512103806251,0.3680640037869987,0.304376231018122,0.5553191472028067
47,0.49,0.39,0.52,0.29,0.48,0.22,0.4147844827586208,1.7400000000000002,0.3254545454545448,0.3137962962962957,0.7284357541899432,3,0.6604826107573912,0.17552040061699684,0.7221990067476375,0.7306678527486328,0.4826634040994271
48,0.74,0.57,0.51,0.28,0.58,0.22,0.6515086206896543,2.29,0.48843260188087634,0.796805555555556,0.3396648044692727,4,0.5212588014741065,0.1012664618538834,0.6135873765666354,0.4507666155566608,0.7120089449840209
49,0.42,0.24,0.34,0.16,0.5,0.22,0.933060344827586,1.85,0.619717868338558,0.5071759259259263,1.0488268156424574,3,0.3933480857194055,0.1572371663136276,0.5380962301643546,0.6021938196582797,0.3503485315191585
50,0.48,0.39,0.51,0.21,0.52,0.28,0.49349137931034526,1.9200000000000004,0.20808777429467207,0.16680555555555598,0.7857541899441339,3,0.6104912126001328,0.14660696213035007,0.8121357489408266,0.8463641661483694,0.4557758305816328
